"Pos.","N°","Nombre","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior"
"1","4","Mauricio Alexander URBANO QUINTAZ","Putumayo","CLUB DEPORTIVO TEAM BASVI","Husqvarna","1:36.180","7","1","15","",""
"2","610-E","Jhon Sebastián agredo","Putumayo","motoclub mocoa","KTM","1:36.327","7","2","13","7.644","7.644"
"3","563","Jhon Jader Valero Palencia","Cauca","CLUB CORONA CLUB XTREME PARK","Honda","1:38.376","7","1","11","11.458","3.814"
"4","710","Juan David MENDOZA DUARTE","Meta","VILLAVICENCIO RACING CLUB","Yamaha","1:37.838","7","3","10","39.163","27.705"
"5","134","RAUL ANDRES ALZATE ","CAUCA","","YAMAHA","1:42.545","7","4","9","53.505","14.342"
"6","814","Abel Eduardo CARABALI CARABALI","Valle del Cauca","Carasucias","Yamaha","1:36.683","6","4","8","1 Vuelta","1 Vuelta"
"NT","696-E","willian daniel rodriguez rosero","Putumayo","motoclub mocoa","KTM","1:48.315","3","2","0","NT",""
