"Pos.","N°","Nombre","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior"
"1","523","Richard Alexander ALARCON ALVAREZ","Putumayo","CLUB EXTREME RACING","KTM","1:43.067","7","3","15","",""
"2","335","JOSE LUIS IBARRA VALLEJO","Putumayo","CLUB EXTREME RACING","TVS","1:43.696","7","3","13","25.903","25.903"
"3","311","Henry MORENO BENAVIDES","Nariño","CLUB MOTEROS RIDERS LA UNION","Yamaha","1:50.916","7","2","11","58.925","33.022"
"4","202","Ivan Dario BENAVIDES FAJARDO","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","1:51.018","7","3","10","1:01.163","2.238"
"5","227","CARLOS ALBERTO LUCERO","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","1:53.300","7","4","9","1:29.612","28.449"
"6","182-E","Andres Felipe VALENCIA ALEGRIA","Cauca","Club Cauca","Yamaha","1:50.595","7","2","8","2:01.385","31.773"
"7","177","ROBINSON RAMIREZ MONSALVE","CAUCA","","HONDA","2:01.730","6","2","7","1 Vuelta","1 Vuelta"
"NE","34","Carlos Alberto ALARCON FLOREZ","CAUCA","","GASGAS","","","0","0","NE",""
