"Pos.","N°","Nombre","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","R1. ","R2. ","R3. "
"1","81","Santiago Garcés Jiménez","33","0","Honda","Cauca","CLUB CORONA CLUB XTREME PARK","3","15","15"
"2","227","CARLOS ALBERTO LUCERO","26","7","Honda","Cauca","CLUB CORONA CLUB XTREME PARK","2","13","11"
"3","26","Rene Alberto ACOSTA CRIOLLO","25","8","Honda","Quindío","CLUB RUTEROS DEL QUINDIO","1","11","13"
