"Pos.","N°","Nombre","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior"
"1","81","Santiago Garcés Jiménez","Cauca","CLUB CORONA CLUB XTREME PARK","Honda","1:47.901","7","2","15","",""
"2","26","Rene Alberto ACOSTA CRIOLLO","Quindío","CLUB RUTEROS DEL QUINDIO","Honda","1:49.453","7","1","13","1.754","1.754"
"3","227","CARLOS ALBERTO LUCERO","Cauca","CLUB CORONA CLUB XTREME PARK","Honda","1:51.539","7","2","11","12.949","11.195"
