"Pos.","N°","Nombre","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior"
"1","35","Juan Angel MORALES GALLEGO","Antioquia","CLUB GRILLOS RACING","Yamaha","1:49.430","6","2","3","",""
"2","272","Maximiliano TEJADA GONZALEZ","Cauca","CLUB CORONA","GasGas","1:53.213","6","6","2","5.719","5.719"
"3","801","Samuel MAYA SANCHEZ","Valle del Cauca","Carasucias","Yamaha","1:49.588","6","6","1","9.421","3.702"
"4","215","Sebastian LOPEZ CORTES","Nariño","CLUB DEPORTIVO BUFALO XTREM","KTM","1:53.317","6","3","1","40.232","30.811"
"NT","319","Samuel BELTRÁN PRIETO","Tolima","GR 522 RACING","KTM","","","0","0","NT",""
