"Pos.","N°","Nombre","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","R1. ","R2. ","R3. "
"1","35","Juan Angel MORALES GALLEGO","31","0","Yamaha","Antioquia","CLUB GRILLOS RACING","3","13","15"
"2","801","Samuel MAYA SANCHEZ","29","2","Yamaha","Valle del Cauca","Carasucias","1","15","13"
"3","272","Maximiliano TEJADA GONZALEZ","23","8","GasGas","Cauca","CLUB CORONA","2","10","11"
"4","215","Sebastian LOPEZ CORTES","22","9","KTM","Nariño","CLUB DEPORTIVO BUFALO XTREM","1","11","10"
"NT","319","Samuel BELTRÁN PRIETO","0","31","KTM","Tolima","GR 522 RACING","0","0","0"
