"Pos.","N°","Nombre","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior"
"1","81","Santiago Garcés Jiménez","Cauca","CLUB CORONA CLUB XTREME PARK","Honda","1:46.157","7","2","3","",""
"2","227","CARLOS ALBERTO LUCERO","Cauca","CLUB CORONA CLUB XTREME PARK","Honda","1:48.878","7","2","2","2.111","2.111"
"3","26","Rene Alberto ACOSTA CRIOLLO","Quindío","CLUB RUTEROS DEL QUINDIO","Honda","1:50.310","7","2","1","19.148","17.037"
