"Pos.","N°","Nombre","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior"
"1","255","Juan Jose LEYTON ERASO","Risaralda","CLUB LOS GUEPARDOS","Cobra","1:08.538","9","2","15","",""
"2","319","Samuel BELTRÁN PRIETO","Tolima","GR 522 RACING","KTM","1:08.159","9","2","13","3.894","3.894"
"3","447","Emiliano Giraldo Gómez","Valle del Cauca","Carasucias","KTM","1:28.898","7","6","11","2 Vueltas","2 Vueltas"
