"Pos.","N°","Nombre","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior"
"1","335","JOSE LUIS IBARRA VALLEJO","Putumayo","CLUB EXTREME RACING","TVS","1:44.971","6","2","3","",""
"2","523","Richard Alexander ALARCON ALVAREZ","Putumayo","CLUB EXTREME RACING","KTM","1:45.274","6","6","2","1.545","1.545"
"3","227","CARLOS ALBERTO LUCERO","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","1:49.731","6","4","1","23.036","21.491"
"4","182-E","Andres Felipe VALENCIA ALEGRIA","Cauca","Club Cauca","Yamaha","1:48.775","6","2","1","32.855","9.819"
"5","202","Ivan Dario BENAVIDES FAJARDO","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","1:51.266","6","6","1","36.935","4.080"
"6","34","Carlos Alberto ALARCON FLOREZ","CAUCA","","GASGAS","1:58.269","6","3","1","1:28.770","51.835"
"7","311","Henry MORENO BENAVIDES","Nariño","CLUB MOTEROS RIDERS LA UNION","Yamaha","1:53.316","6","5","1","1:54.394","25.624"
"8","177","ROBINSON RAMIREZ MONSALVE","CAUCA","","HONDA","2:06.929","6","6","1","1:58.009","3.615"
