"Pos.","N°","Nombre","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior"
"1","420","Esteban ARCILA ACEVEDO","Risaralda","CLUB LOS GUEPARDOS","Husqvarna","1:39.347","8","3","3","",""
"2","610-E","Jhon Sebastián agredo","Putumayo","motoclub mocoa","Husqvarna","1:37.755","8","2","2","23.737","23.737"
"3","626","Juan Antonio PIEDRAHITA VARELA","Risaralda","CLUB LOS GUEPARDOS","KTM","1:38.650","8","3","1","30.360","6.623"
"4","280","Samuel Andres DELGADO RAMIREZ","Nariño","CLUB DEPORTIVO BUFALO XTREM","GasGas","1:48.582","8","8","1","1:24.219","53.859"
"5","527","Jean Pierre ARROYAVE ROJAS","Valle del Cauca","Carasucias","GasGas","1:51.533","8","3","1","1:24.794","0.575"
"6","215","Sebastian LOPEZ CORTES","Nariño","CLUB DEPORTIVO BUFALO XTREM","KTM","1:52.335","7","3","1","1 Vuelta","1 Vuelta"
"7","710","Juan David MENDOZA DUARTE","Meta","VILLAVICENCIO RACING CLUB","Yamaha","1:41.617","7","3","1","1 Vuelta","1:17.418"
"8","146","Gabriel Alejandro MESA ARROYO","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","1:50.073","6","2","1","2 Vueltas","1 Vuelta"
"9","777","Dominique Samuel Díaz Maca","Putumayo","CLUB EXTREME RACING","KTM","2:21.686","6","6","1","2 Vueltas","1:07.488"
