"Pos.","N°","Nombre","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","R1. ","R2. ","R3. "
"1","710","Juan David MENDOZA DUARTE","31","0","Yamaha","Meta","VILLAVICENCIO RACING CLUB","3","15","13"
"2","610-E","Jhon Sebastián agredo","30","1","Yamaha","Putumayo","motoclub mocoa","2","13","15"
"3","146","Gabriel Alejandro MESA ARROYO","23","8","Yamaha","Nariño","CLUB DEPORTIVO BUFALO XTREM","1","11","11"
