"Pos.","N°","Nombre","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior"
"1","444","Faber Andrés giraldo","Valle del Cauca","Carasucias","KTM","1:38.840","7","2","3","",""
"2","336","DAVID ALEJANDRO IBARRA ECHEVERRY","Putumayo","CLUB EXTREME RACING","TVS","1:44.792","7","3","2","13.158","13.158"
"3","177","ROBINSON CAMILO RAMIREZ GIL","Nariño","CLUB MOTEROS RIDERS LA UNION","Honda","1:44.425","7","4","1","18.598","5.440"
"4","81","Santiago Garcés Jiménez","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","1:42.379","7","3","1","36.044","17.446"
"5","58","Diego Ignacio ROJAS ROSERO","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","1:47.203","7","6","1","50.638","14.594"
"6","128","Santiago RAMIREZ GIL","Nariño","CLUB DEPORTIVO LOS CAFETEROS","Yamaha","1:50.371","7","6","1","1:56.405","1:05.767"
"7","61","Luis Fernando LOPEZ","Putumayo","CLUB EXTREME RACING","Husqvarna","1:56.235","6","2","1","1 Vuelta","1 Vuelta"
"NT","424","andres fernando paz luna","Putumayo","TEAM RACING MOCOA","Husqvarna","2:02.870","2","2","0","NT",""
