"Pos.","N°","Nombre","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior"
"1","81","Santiago Garcés Jiménez","Cauca","CLUB CORONA CLUB XTREME PARK","Honda","1:47.577","8","3","15","",""
"2","227","CARLOS ALBERTO LUCERO","Cauca","CLUB CORONA CLUB XTREME PARK","Honda","1:49.570","8","3","13","21.257","21.257"
"3","26","Rene Alberto ACOSTA CRIOLLO","Quindío","CLUB RUTEROS DEL QUINDIO","Honda","1:50.917","8","7","11","23.054","1.797"
