"Pos.","N°","Nombre","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior"
"1","141","Isabela VILLEGAS BRAND","Valle del Cauca","Team Potenza","Yamaha","1:48.453","7","3","15","",""
"2","219","Aisha CASTRO","Tolima","GR 522 RACING","KTM","1:51.761","7","5","13","14.781","14.781"
"3","834","Valery Fernanda ARIAS ARCOS","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","1:51.286","7","7","11","27.638","12.857"
"4","516","Laura Sofia BALCAZAR","Meta","VILLAVICENCIO RACING CLUB","Husqvarna","2:00.888","6","2","10","1 Vuelta","1 Vuelta"
