"Pos.","N°","Nombre","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior"
"1","4","Mauricio Alexander URBANO QUINTAZ","Putumayo","CLUB DEPORTIVO TEAM BASVI","Husqvarna","1:37.040","7","6","3","",""
"2","814","Abel Eduardo CARABALI CARABALI","Valle del Cauca","Carasucias","Yamaha","1:37.052","7","5","2","4.438","4.438"
"3","134","RAUL ANDRES ALZATE ","CAUCA","","YAMAHA","1:42.666","7","7","1","40.630","36.192"
"4","710","Juan David MENDOZA DUARTE","Meta","VILLAVICENCIO RACING CLUB","Yamaha","1:42.787","7","3","1","59.236","18.606"
"5","563","Jhon Jader Valero Palencia","Cauca","CLUB CORONA CLUB XTREME PARK","Honda","1:41.632","7","3","1","1:01.349","2.113"
"6","610-E","Jhon Sebastián agredo","Putumayo","motoclub mocoa","KTM","1:51.768","7","3","1","1:50.766","49.417"
"NT","696-E","willian daniel rodriguez rosero","Putumayo","motoclub mocoa","KTM","","","0","0","NT",""
