"Pos.","N°","Nombre","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior"
"1","336","DAVID ALEJANDRO IBARRA ECHEVERRY","Putumayo","CLUB EXTREME RACING","TVS","1:39.913","7","1","15","",""
"2","444","Faber Andrés giraldo","Valle del Cauca","Carasucias","KTM","1:40.722","7","3","13","6.570","6.570"
"3","81","Santiago Garcés Jiménez","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","1:42.324","7","4","11","22.482","15.912"
"4","61","Luis Fernando LOPEZ","Putumayo","CLUB EXTREME RACING","Husqvarna","1:50.052","7","6","10","1:15.598","53.116"
"5","58","Diego Ignacio ROJAS ROSERO","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","1:47.337","7","4","9","1:18.896","3.298"
"6","424","andres fernando paz luna","Putumayo","TEAM RACING MOCOA","Husqvarna","1:52.632","7","4","8","1:34.458","15.562"
"7","177","ROBINSON CAMILO RAMIREZ GIL","Nariño","CLUB MOTEROS RIDERS LA UNION","Honda","1:50.669","7","4","7","1:34.874","0.416"
"8","128","Santiago RAMIREZ GIL","Nariño","CLUB DEPORTIVO LOS CAFETEROS","Yamaha","1:57.847","6","2","6","1 Vuelta","1 Vuelta"
