"Pos.","N°","Nombre","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior"
"1","35","Juan Angel MORALES GALLEGO","Antioquia","CLUB GRILLOS RACING","Yamaha","1:47.322","7","3","15","",""
"2","801","Samuel MAYA SANCHEZ","Valle del Cauca","Carasucias","Yamaha","1:48.448","7","4","13","11.623","11.623"
"3","272","Maximiliano TEJADA GONZALEZ","Cauca","CLUB CORONA","GasGas","1:56.759","7","7","11","1:26.408","1:14.785"
"4","215","Sebastian LOPEZ CORTES","Nariño","CLUB DEPORTIVO BUFALO XTREM","KTM","1:51.496","7","2","10","2:57.770","1:31.362"
"NT","319","Samuel BELTRÁN PRIETO","Tolima","GR 522 RACING","KTM","","","0","0","NT",""
