"Pos.","N°","Nombre","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior"
"1","626","Juan Antonio PIEDRAHITA VARELA","Risaralda","CLUB LOS GUEPARDOS","KTM","1:36.134","7","4","15","",""
"2","420","Esteban ARCILA ACEVEDO","Risaralda","CLUB LOS GUEPARDOS","Husqvarna","1:38.709","7","5","13","18.199","18.199"
"3","610-E","Jhon Sebastián agredo","Putumayo","motoclub mocoa","Husqvarna","1:40.950","7","3","11","30.566","12.367"
"4","710","Juan David MENDOZA DUARTE","Meta","VILLAVICENCIO RACING CLUB","Yamaha","1:42.114","7","3","10","36.106","5.540"
"5","146","Gabriel Alejandro MESA ARROYO","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","1:46.472","7","5","9","1:03.708","27.602"
"6","527","Jean Pierre ARROYAVE ROJAS","Valle del Cauca","Carasucias","GasGas","1:49.648","7","7","8","1:28.475","24.767"
"7","280","Samuel Andres DELGADO RAMIREZ","Nariño","CLUB DEPORTIVO BUFALO XTREM","GasGas","1:52.155","6","2","7","1 Vuelta","1 Vuelta"
"8","215","Sebastian LOPEZ CORTES","Nariño","CLUB DEPORTIVO BUFALO XTREM","KTM","1:49.905","6","4","6","1 Vuelta","49.869"
"9","777","Dominique Samuel Díaz Maca","Putumayo","CLUB EXTREME RACING","KTM","2:10.772","5","3","5","2 Vueltas","1 Vuelta"
