"Pos.","N°","Nombre","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior"
"1","141","Isabela VILLEGAS BRAND","Valle del Cauca","Team Potenza","Yamaha","1:46.209","7","4","3","",""
"2","219","Aisha CASTRO","Tolima","GR 522 RACING","KTM","1:48.749","7","3","2","10.809","10.809"
"3","834","Valery Fernanda ARIAS ARCOS","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","1:51.076","7","3","1","54.911","44.102"
"4","516","Laura Sofia BALCAZAR","Meta","VILLAVICENCIO RACING CLUB","Husqvarna","2:06.570","6","5","1","1 Vuelta","1 Vuelta"
